checkpoint,success_rate,collision_rate,timeout_rate,mean_reward_success,std_reward_success,mean_steps,mean_steps_success
td3_bc_offline_step_10000,0.97,0.035,0.0,-2.3150357474339143,63.165054226188616,589.105,545.5
td3_bc_offline_step_20000,0.975,0.02,0.0,1.915287710718845,1.7241496088738444,567.03,530.3128205128205
td3_bc_offline_step_30000,0.975,0.025,0.0,2.0983555881449476,1.8602903494551968,616.1,580.6410256410256
td3_bc_offline_step_40000,0.97,0.035,0.0,-3.880973375480774,58.08706773925121,618.19,575.4845360824743
