name,success_rate,collision_rate,timeout_rate,mean_reward,mean_reward_success,mean_steps,mean_steps_success
online_baseline_best,0.48,0.01,0.0,-11.40733079833234,2.0669207177214677,1362.975,673.9479166666666
online_llm_seg09_best,0.76,0.035,0.0,-78.73925478246902,2.381506097373468,938.81,604.0131578947369
