#{"t_start": 1769942380.6310866, "env_id": "None"}
r,l,t,success,collision,timeout
1.3770883,1999,5061.929444,False,False,False
-1499.6531,1999,5127.638479,False,True,False
1.6752024,462,5141.579871,True,False,False
1.5977827,254,5150.17203,True,False,False
4.6347446,543,5168.75692,True,False,False
3.0776258,643,5190.674479,True,False,False
0.47394496,804,5217.156256,True,False,False
3.1094794,1999,5284.267238,False,False,False
1.2752666,478,5300.05779,True,False,False
3.037782,1999,5365.850142,False,False,False
0.15529884,701,5389.318763,True,False,False
0.60761714,341,5400.242933,True,False,False
3.214893,1999,5456.495204,False,False,False
-1.600063,381,5469.333808,True,False,False
0.026544143,345,5480.868933,True,False,False
4.3388305,417,5495.310736,True,False,False
1.7421942,1999,5560.601485,False,False,False
-4.4466524,638,5581.000911,True,False,False
-2.7907865,264,5589.785202,True,False,False
5.200497,1069,5625.485456,True,False,False
5.446573,1999,5688.870073,False,False,False
2.4703965,1999,5755.622342,False,False,False
-1.7396005,601,5774.551753,True,False,False
5.40588,1954,5838.811351,True,False,False
0.7458898,559,5858.42957,True,False,False
5.773238,617,5879.063455,True,False,False
5.0228434,426,5893.505253,True,False,False
1.8061606,603,5913.654925,True,False,False
0.28187335,255,5922.004679,True,False,False
2.151965,317,5933.130253,True,False,False
1.483132,533,5951.521885,True,False,False
2.1431808,453,5966.730468,True,False,False
0.71425295,814,5994.338636,True,False,False
0.34903732,308,6005.106734,True,False,False
1.3565559,555,6022.597591,True,False,False
3.4426737,559,6041.513976,True,False,False
1.8054231,594,6060.663921,True,False,False
-2563.5142,1999,6118.18193,False,True,False
8.186035,660,6139.93942,True,False,False
0.76828647,709,6164.022835,True,False,False
7.544668,586,6183.548143,True,False,False
-3.1844792,602,6203.765234,True,False,False
1.8745823,427,6218.247649,True,False,False
